Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
1/15/2020,9/19/2019,B3R3,1,1.692,0.691,54,54,8.69,60.68,60
1/15/2020,9/19/2019,B3R3,2,1.68,0.689,54,54,8.45,60.31,60
1/15/2020,9/19/2019,B3R3,3,1.632,0.609,54,51,8.82,60.48,60
11/21/2019,8/1/2019,B1R2,1,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R2,2,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R2,3,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R3,1,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R3,2,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R3,3,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R4,1,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R4,2,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B1R4,3,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R1,1,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R1,2,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R1,3,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R3,1,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R3,2,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R3,3,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R2,1,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R2,2,NA,NA,NA,NA,NA,NA,NA
11/21/2019,8/1/2019,B2R2,3,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R1,1,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R1,2,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R1,3,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R2,1,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R2,2,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R2,3,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R3,1,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R3,2,NA,NA,NA,NA,NA,NA,NA
11/22/2019,8/1/2019,B3R3,3,NA,NA,NA,NA,NA,NA,NA
